"Pantry Shelf","EFAP","11/08/2000","BMAC","1:4:164,F.D. Corn:2:120,F.D. Beans:1:60,4:2:120,F.D. Peas:1:60,F.D. Dry Goods:8:320,Fresh Vegetables:3:120,F.D. Glass:1:40,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:6:126,Cheese Nips:4:24,Pop Tarts:10:30,Tuna.:1:27,Mac & Cheese:1:42,Cereal Honey Crunch:2:48","0","1351",,,,,"615721232"
"Salvation Army","EFAP","11/08/2000","BMAC","1:4:164,F.D. Corn:2:120,F.D. Beans:2:120,4:2:120,F.D. Dry Goods:8:320,F.D. Fish Prod.:1:60,Fresh Vegetables:2:90,F.D. Fruit.:2:120,F.D. Glass:1:60,Paper Products-t.p.:1:35,Pasta:6:126,F.D. Soup:2:120,Cheese Nips:4:24,Mac & Cheese:1:42,Snack Sticks:3:30,Cereal Honey Crunch:2:48","0","1599",,,,,"57040515"
"St. Vincent of Walla Walla","EFAP","11/08/2000","BMAC","1:4:164,F.D. Corn:2:120,F.D. Beans:2:120,4:1:60,F.D. Chili/Beans:1:60,F.D. Dry Goods:8:320,F.D. Fish Prod.:1:60,Fresh Vegetables:2:30,F.D. Fruit.:1:60,F.D. Glass:1:60,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:6:126,Cheese Nips:4:24,Mac & Cheese:1:42,Snack Sticks:10:30,Cereal Honey Crunch:2:48","0","1374",,,,,"438038908"
"Helpline","EFAP","11/08/2000","BMAC","4:2:120,F.D. Dry Goods:4:160,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,Tuna.:1:27,Mac & Cheese:1:42,Stroganoff:4:36,Juice; Citrus Punch:2:30,Misc.:2:7","0","514",,,,,"19073025"
"Pantry Shelf","EFAP FB","11/08/2000","Customer","Rice #50:1:50","0.21","50",,,,,"781248431"
"Pantry Shelf","EFAP","11/08/2000","Customer","Misc.:2:20,Combo Crackers:1:24","0","44",,,,,"849023110"
"St. Vincent of Walla Walla","EFAP FB","11/13/2000","Customer","Rice #50:4:200","0.21","200",,,,,"901370290"
"St. Vincent of Walla Walla","EFAP FB","11/13/2000","Customer","Beans #50:4:200","0.26","200",,,,,"959782149"
"St. Vincent of Walla Walla","EFAP FB","11/13/2000","Customer","Oatmeal #50:2:100","0.27","100",,,,,"94799906"
"Community Food Bank of Dayton","TEFAP","11/15/2000","BMAC","PASTA:6:78,APP.SAUCE:3:81,APRICOTS:3:81,PEARS:3:81,GROUND SAUSAGE:6:216,CHILI:6:168,ALMONDS:6:162,DRIED CRANBERRY:4:128,101:9:181","0","1176",,,,,"594653111"
"Garfield Co. Food Bank","TEFAP","11/15/2000","BMAC","PASTA:4:52,APP.SAUCE:2:54,APRICOTS:2:54,PEARS:2:54,GROUND SAUSAGE:4:144,CHILI:2:54,ALMONDS:4:108,DRIED CRANBERRY:3:96,101:5:160","0","776",,,,,"688865868"
"Garfield Co. Food Bank","EFAP","11/15/2000","BMAC","1:3:123,Cereal Special K:3:45,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,Salvage Grain:2:80,Salvage Fruit & Veg:2:80,Salvage Protein:2:80,Salvage Misc.:2:80,Cheese Nips:2:12,AFF Asp.:4:110,Snack Sticks:6:18,Stroganoff:3:27,AFF lg. Corn:2:25.5","0","772.5",,,,,"660370040"
